"sepal_l","sepal_w","petal_l","petal_w","species","Output:species"
5.0,3.0,1.6,0.2,Iris-setosa,Iris-setosa
5.3,3.7,1.5,0.2,Iris-setosa,Iris-setosa
5.1,2.5,3.0,1.1,Iris-versicolor,Iris-versicolor
6.8,3.0,5.5,2.1,Iris-virginica,Iris-virginica
5.1,3.5,1.4,0.3,Iris-setosa,Iris-setosa
4.8,3.0,1.4,0.1,Iris-setosa,Iris-setosa
5.7,2.5,5.0,2.0,Iris-virginica,Iris-virginica
4.9,2.4,3.3,1.0,Iris-versicolor,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor,Iris-versicolor
6.4,2.8,5.6,2.2,Iris-virginica,Iris-virginica
6.3,2.3,4.4,1.3,Iris-versicolor,Iris-versicolor
4.9,2.5,4.5,1.7,Iris-virginica,Iris-versicolor
5.4,3.4,1.7,0.2,Iris-setosa,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica,Iris-virginica
5.1,3.3,1.7,0.5,Iris-setosa,Iris-setosa
6.7,3.3,5.7,2.5,Iris-virginica,Iris-virginica
5.0,3.4,1.5,0.2,Iris-setosa,Iris-setosa
5.1,3.8,1.9,0.4,Iris-setosa,Iris-setosa
5.2,2.7,3.9,1.4,Iris-versicolor,Iris-versicolor
5.8,2.7,4.1,1.0,Iris-versicolor,Iris-versicolor
7.2,3.6,6.1,2.5,Iris-virginica,Iris-virginica
4.9,3.1,1.5,0.2,Iris-setosa,Iris-setosa
7.3,2.9,6.3,1.8,Iris-virginica,Iris-virginica
5.0,3.4,1.6,0.4,Iris-setosa,Iris-setosa
6.9,3.1,4.9,1.5,Iris-versicolor,Iris-versicolor
5.4,3.9,1.3,0.4,Iris-setosa,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa,Iris-setosa
6.7,2.5,5.8,1.8,Iris-virginica,Iris-virginica
6.7,3.0,5.0,1.7,Iris-versicolor,Iris-virginica
5.7,3.0,4.2,1.2,Iris-versicolor,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor,Iris-versicolor
4.9,3.6,1.4,0.1,Iris-setosa,Iris-setosa
6.9,3.1,5.1,2.3,Iris-virginica,Iris-virginica
4.8,3.4,1.6,0.2,Iris-setosa,Iris-setosa
6.5,3.0,5.8,2.2,Iris-virginica,Iris-virginica
6.2,2.2,4.5,1.5,Iris-versicolor,Iris-versicolor
6.3,3.4,5.6,2.4,Iris-virginica,Iris-virginica
